invoice_id,supplier_id,supplier_name,invoice_date,po_id,sku,uom,qty_invoiced,unit_price_eur,invoice_total_eur,date_received
INV-2001,SUP-001,Northgate Mills Ltd,2026-01-12,PO-1001,FLR-001,case,2000,12.00,24000.00,2026-01-13
INV-2002,SUP-002,Greenfield Farm,2026-01-14,PO-1002,VEG-014,kg,1000,2.50,2500.00,2026-01-15
INV-2003,SUP-003,Meadowvale Dairy Ltd,2026-01-16,PO-1003,DRY-101,unit,6000,1.50,9000.00,2026-01-17
INV-2004,SUP-004,Sunrise Bakery,2026-01-19,PO-1004,BAK-220,unit,5000,0.95,4750.00,2026-01-20
INV-2005,SUP-005,Riverside Beverages,2026-01-22,PO-1005,BEV-330,case,2000,9.00,18000.00,2026-01-23
INV-2006,SUP-006,Prime Cuts Butchers,2026-01-24,PO-1006,MEA-410,kg,1500,6.80,10200.00,2026-01-25
INV-2007,SUP-007,Sweet Treats Co,2026-01-26,PO-1007,CON-510,unit,8000,0.45,3600.00,2026-01-27
INV-2008,SUP-008,EcoPack Ltd,2026-01-28,PO-1008,PKG-600,case,1000,15.00,15000.00,2026-01-29
INV-2009,SUP-002,Greenfield Farm,2026-02-01,PO-1009,VEG-018,kg,800,1.80,1440.00,2026-02-02
INV-2010,SUP-003,Meadowvale Dairy Ltd,2026-02-05,PO-1010,DRY-105,case,600,22.00,13200.00,2026-02-06
INV-2011,SUP-005,Riverside Beverages,2026-02-08,PO-1011,BEV-335,case,1200,11.00,13200.00,2026-02-09
INV-2012,SUP-006,Prime Cuts Butchers,2026-02-11,PO-1012,MEA-415,kg,1000,7.20,7200.00,2026-02-12
INV-2013,SUP-008,EcoPack Ltd,2026-02-13,PO-1013,PKG-605,case,400,18.00,7200.00,2026-02-14
INV-2014,SUP-001,Northgate Mills Ltd,2026-02-15,PO-1014,FLR-001,case,1500,12.00,18000.00,2026-02-16
INV-2015,SUP-004,Sunrise Bakery,2026-02-18,PO-1015,BAK-225,unit,4000,0.55,2200.00,2026-02-19
INV-2016,SUP-007,Sweet Treats Co,2026-02-21,PO-1016,CON-515,unit,6000,0.60,3600.00,2026-02-22
INV-2017,SUP-002,Greenfield Farm,2026-02-25,PO-1017,VEG-014,kg,1200,2.50,3000.00,2026-02-26
INV-2018,SUP-003,Meadowvale Dairy Ltd,2026-02-28,PO-1018,DRY-101,case,500,18.00,9000.00,2026-03-01
INV-2019,SUP-005,Riverside Beverages,2026-03-04,PO-1019,BEV-330,case,1800,9.00,16200.00,2026-03-05
INV-2020,SUP-006,Prime Cuts Butchers,2026-03-07,PO-1020,MEA-410,kg,1400,6.50,9100.00,2026-03-08
INV-2021,SUP-008,EcoPack Ltd,2026-03-11,PO-1021,PKG-600,case,900,15.00,13500.00,2026-03-12
INV-2022,SUP-001,Northgate Mills Ltd,2026-03-15,PO-1022,FLR-001,case,800,12.00,9600.00,2026-03-16
INV-2023,SUP-004,Sunrise Bakery,2026-03-18,PO-1023,BAK-220,unit,5000,0.80,4000.00,2026-03-19
INV-2031,SUP-001,Northgate Mills Ltd,2026-03-28,PO-1022,FLR-001,case,800,12.50,10000.00,2026-03-28
INV-2032,SUP-005,Riverside Beverages,2026-03-29,PO-1019,BEV-330,case,1800,9.00,16200.00,2026-03-29
INV-2033,SUP-002,Greenfield Farm,2026-03-30,PO-1017,VEG-014,kg,1200,2.50,3000.00,2026-03-30
